FirstName,LastName,Email,Phone
Emily,Howard,emily@example.com,5551111
Bubbles,DeVere,bubbles@example.com,5552222
Bubbles,DeVere,bubbles@example.com,
Marjorie,Dawes,marjorie@example.com,5553333
Ellie-Grace,Day,ellie@example.com,5554444
Daffyd,Thomas,daffyd@example.com,5555555
Bing,Gordon,bing@example.com,5556666
Edward,Grant,edward@example.com,5557777
Samantha,Grant,samantha@example.com,5557777
Sebastian,Love,sebastian@example.com
Phyllis,Church,phyllis@example.com,5558888
Carol,Beer,carol@example.com,5559999
John,Doe,doe@example.com,5550088
Jane,Doe,doe@example.com,5550099
